Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 37.69     14.89    14.89 1126392480     0.00     0.00  std::_Function_handler<double (double), CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int)::{lambda(double)#1}>::_M_invoke(std::_Any_data const&, double&&)
 36.17     29.17    14.29 1126392480     0.00     0.00  std::_Function_handler<double (double), SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int)::{lambda(double)#1}>::_M_invoke(std::_Any_data const&, double&&)
  9.48     32.92     3.75 16305120     0.00     0.00  Integral(std::function<double (double)> const&, double, double, int)
  8.28     36.19     3.27 188723520     0.00     0.00  std::_Function_handler<double (double), dSinInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int)::{lambda(double)#1}>::_M_invoke(std::_Any_data const&, double&&)
  7.09     38.99     2.80 188723520     0.00     0.00  std::_Function_handler<double (double), dCosInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int)::{lambda(double)#1}>::_M_invoke(std::_Any_data const&, double&&)
  0.51     39.19     0.20      720     0.28     0.28  std::_Function_base::_Base_manager<verschVek(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int)::{lambda(double)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<verschVek(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int)::{lambda(double)#1}> const&, std::_Manager_operation)
  0.29     39.30     0.12  5248800     0.00     0.00  std::_Function_handler<double (double), B(double, double, int, std::vector<double, std::allocator<double> >&, int)::{lambda(double)#1}>::_M_invoke(std::_Any_data const&, double&&)
  0.24     39.40     0.10  5248800     0.00     0.00  std::_Function_handler<double (double), A(double, double, int, std::vector<double, std::allocator<double> >&, int)::{lambda(double)#1}>::_M_invoke(std::_Any_data const&, double&&)
  0.09     39.43     0.04  6953040     0.00     0.00  std::_Function_base::_Base_manager<CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int)::{lambda(double)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int)::{lambda(double)#1}> const&, std::_Manager_operation)
  0.08     39.46     0.03  6953040     0.00     0.00  std::_Function_base::_Base_manager<SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int)::{lambda(double)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int)::{lambda(double)#1}> const&, std::_Manager_operation)
  0.03     39.47     0.01  1164960     0.00     0.00  std::_Function_base::_Base_manager<dSinInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int)::{lambda(double)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<dSinInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int)::{lambda(double)#1}> const&, std::_Manager_operation)
  0.03     39.48     0.01   583200     0.00     0.00  std::_Function_handler<double (double), m(int, int, double, double, std::vector<double, std::allocator<double> > const&, double, int)::{lambda(double)#1}>::_M_invoke(std::_Any_data const&, double&&)
  0.01     39.49     0.01  1164960     0.00     0.00  std::_Function_base::_Base_manager<dCosInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int)::{lambda(double)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<dCosInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int)::{lambda(double)#1}> const&, std::_Manager_operation)
  0.01     39.49     0.01                             std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
  0.00     39.49     0.00  1412640     0.00     0.00  SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int)
  0.00     39.49     0.00  1062720     0.00     0.00  CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int)
  0.00     39.49     0.00   233280     0.00     0.00  ddversch(double, double)
  0.00     39.49     0.00   116640     0.00     0.00  std::_Function_handler<double (double), verschVek(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int)::{lambda(double)#1}>::_M_invoke(std::_Any_data const&, double&&)
  0.00     39.49     0.00   100400     0.00     0.00  alglib_impl::ae_fabs(double, alglib_impl::ae_state*)
  0.00     39.49     0.00    99200     0.00     0.00  alglib_impl::ae_trunc(double, alglib_impl::ae_state*)
  0.00     39.49     0.00    97040     0.00     0.00  alglib_impl::ae_fp_neq(double, double)
  0.00     39.49     0.00    82400     0.00     0.00  alglib_impl::ae_maxreal(double, double, alglib_impl::ae_state*)
  0.00     39.49     0.00    53760     0.00     0.00  alglib_impl::ae_v_len(long, long)
  0.00     39.49     0.00    38880     0.00     0.00  Reibf(double, double, double)
  0.00     39.49     0.00    38880     0.00     0.00  dversch(double, double)
  0.00     39.49     0.00    32400     0.00     0.00  std::_Function_base::_Base_manager<A(double, double, int, std::vector<double, std::allocator<double> >&, int)::{lambda(double)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<A(double, double, int, std::vector<double, std::allocator<double> >&, int)::{lambda(double)#1}> const&, std::_Manager_operation)
  0.00     39.49     0.00    32400     0.00     0.00  std::_Function_base::_Base_manager<B(double, double, int, std::vector<double, std::allocator<double> >&, int)::{lambda(double)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<B(double, double, int, std::vector<double, std::allocator<double> >&, int)::{lambda(double)#1}> const&, std::_Manager_operation)
  0.00     39.49     0.00    31840     0.00     0.00  alglib_impl::ae_c_abs(alglib_impl::ae_complex, alglib_impl::ae_state*)
  0.00     39.49     0.00    31200     0.00     0.00  alglib_impl::ae_log(double, alglib_impl::ae_state*)
  0.00     39.49     0.00    27440     0.00     0.00  alglib_impl::ae_fp_greater(double, double)
  0.00     39.49     0.00    23040     0.00     0.00  alglib_impl::ae_complex_from_d(double)
  0.00     39.49     0.00    17441     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_append(unsigned long)
  0.00     39.49     0.00    16960     0.00     0.00  alglib_impl::ae_v_dotproduct(double const*, long, double const*, long, long)
  0.00     39.49     0.00    14495     0.00     0.00  alglib_impl::ae_sqr(double, alglib_impl::ae_state*)
  0.00     39.49     0.00    13520     0.00     0.00  alglib_impl::ae_fp_eq(double, double)
  0.00     39.49     0.00    11520     0.00     0.00  alglib_impl::ae_c_neq_d(alglib_impl::ae_complex, double)
  0.00     39.49     0.00    11520     0.00     0.00  alglib_impl::ae_c_eq_d(alglib_impl::ae_complex, double)
  0.00     39.49     0.00    11520     0.00     0.00  alglib_impl::safesolve_cbasicsolveandupdate(alglib_impl::ae_complex, alglib_impl::ae_complex, double, double, double, double*, alglib_impl::ae_complex*, alglib_impl::ae_state*)
  0.00     39.49     0.00    10320     0.00     0.00  alglib_impl::ae_fp_greater_eq(double, double)
  0.00     39.49     0.00    10240     0.00     0.00  alglib_impl::ae_v_moved(double*, long, double const*, long, long, double)
  0.00     39.49     0.00    10160     0.00     0.00  alglib_impl::ae_c_div(alglib_impl::ae_complex, alglib_impl::ae_complex)
  0.00     39.49     0.00    10000     0.00     0.00  alglib_impl::ae_fp_less(double, double)
  0.00     39.49     0.00     8480     0.00     0.00  alglib_impl::ae_v_muld(double*, long, long, double)
  0.00     39.49     0.00     6480     0.00     0.00  alglib_impl::ae_malloc(unsigned long, alglib_impl::ae_state*)
  0.00     39.49     0.00     6480     0.00     0.00  alglib_impl::ae_v_move(double*, long, double const*, long, long)
  0.00     39.49     0.00     6240     0.00     0.00  alglib_impl::ae_assert(bool, char const*, alglib_impl::ae_state*)
  0.00     39.49     0.00     5440     0.00     0.00  alglib_impl::ae_v_addd(double*, long, double const*, long, long, double)
  0.00     39.49     0.00     5120     0.00     0.00  alglib_impl::ae_v_subd(double*, long, double const*, long, long, double)
  0.00     39.49     0.00     3600     0.00     8.53  V(int, int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double)
  0.00     39.49     0.00     3600     0.00     0.00  alglib_impl::xdot(alglib_impl::ae_vector*, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, double*, double*, alglib_impl::ae_state*)
  0.00     39.49     0.00     3600     0.00     0.00  std::_Function_base::_Base_manager<m(int, int, double, double, std::vector<double, std::allocator<double> > const&, double, int)::{lambda(double)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<m(int, int, double, double, std::vector<double, std::allocator<double> > const&, double, int)::{lambda(double)#1}> const&, std::_Manager_operation)
  0.00     39.49     0.00     3280     0.00     0.00  alglib_impl::ae_vector_set_length(alglib_impl::ae_vector*, long, alglib_impl::ae_state*)
  0.00     39.49     0.00     3200     0.00     0.00  alglib_impl::ae_isfinite(double, alglib_impl::ae_state*)
  0.00     39.49     0.00     3200     0.00     0.00  alglib_impl::ae_free(void*)
  0.00     39.49     0.00     3200     0.00     0.00  alglib_impl::ae_round(double, alglib_impl::ae_state*)
  0.00     39.49     0.00     3200     0.00     0.00  alglib_impl::xblas_xfastpow(double, long, alglib_impl::ae_state*)
  0.00     39.49     0.00     2880     0.00     0.00  alglib_impl::ae_sign(double, alglib_impl::ae_state*)
  0.00     39.49     0.00     2720     0.00     0.00  alglib_impl::ae_vector_init(alglib_impl::ae_vector*, long, long, alglib_impl::ae_state*, bool)
  0.00     39.49     0.00     2400     0.00     0.00  alglib_impl::ae_minint(long, long, alglib_impl::ae_state*)
