Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  3.73      1.19     1.19                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ ba2c)
  3.54      2.32     1.13                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b7af)
  3.48      3.43     1.11                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ af91)
  3.38      4.51     1.08                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b9d1)
  3.10      5.50     0.99                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ ad6f)
  2.77      6.39     0.89                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ afec)
  2.47      7.18     0.79                             N(int, double, double) (terms.cpp:13 @ b870)
  2.41      7.95     0.77                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ adc7)
  2.26      8.67     0.72                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ b807)
  2.10      9.34     0.67                             N(int, double, double) (terms.cpp:13 @ b056)
  1.93      9.95     0.62                             N(int, double, double) (terms.cpp:13 @ ae30)
  1.91     10.56     0.61                             N(int, double, double) (terms.cpp:13 @ ba96)
  1.85     11.15     0.59                             N(int, double, double) (terms.cpp:13 @ bb83)
  1.69     11.69     0.54                             N(int, double, double) (terms.cpp:13 @ b8e0)
  1.60     12.20     0.51                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ bb58)
  1.57     12.70     0.50                             N(int, double, double) (terms.cpp:13 @ aea0)
  1.47     13.17     0.47                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ a6ca)
  1.46     13.64     0.47                             N(int, double, double) (terms.cpp:13 @ b143)
  1.41     14.09     0.45                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ b118)
  1.35     14.52     0.43                             N(int, double, double) (terms.cpp:13 @ b94e)
  1.22     14.91     0.39                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ bc5d)
  1.13     15.27     0.36                             N(int, double, double) (terms.cpp:16 @ b07b)
  1.03     15.60     0.33                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ a748)
  1.03     15.93     0.33                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ aef0)
  0.97     16.24     0.31                             N(int, double, double) (terms.cpp:13 @ bb01)
  0.92     16.53     0.30                             N(int, double, double) (terms.cpp:13 @ b0c1)
  0.92     16.83     0.30                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ bc7d)
  0.91     17.12     0.29                             N(int, double, double) (terms.cpp:16 @ aec3)
  0.89     17.40     0.29                             N(int, double, double) (terms.cpp:13 @ b0dc)
  0.86     17.68     0.28                             N(int, double, double) (terms.cpp:19 @ bc50)
  0.86     17.95     0.28                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ b930)
  0.81     18.21     0.26                             N(int, double, double) (terms.cpp:19 @ bc70)
  0.78     18.46     0.25                             N(int, double, double) (terms.cpp:13 @ af0e)
  0.78     18.71     0.25                             N(int, double, double) (terms.cpp:13 @ bb1c)
  0.77     18.96     0.25                             N(int, double, double) (terms.cpp:16 @ b903)
  0.72     19.19     0.23                             N(int, double, double) (terms.cpp:13 @ cbb0)
  0.69     19.41     0.22                             N(int, double, double) (terms.cpp:16 @ b893)
  0.69     19.63     0.22                             N(int, double, double) (terms.cpp:14 @ ba92)
  0.67     19.84     0.22                             N(int, double, double) (terms.cpp:16 @ bb2d)
  0.66     20.05     0.21                             N(int, double, double) (terms.cpp:17 @ b104)
  0.66     20.26     0.21                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ b21d)
  0.64     20.47     0.21                             N(int, double, double) (terms.cpp:13 @ a7e5)
  0.63     20.67     0.20                             N(int, double, double) (terms.cpp:13 @ b045)
  0.63     20.87     0.20                             N(int, double, double) (terms.cpp:13 @ baf0)
